year,month,q,qbase,VI,t_mean,runoff,pet,aet,gwr,runoff_2,delta_reservoir
2013,11,36.4752753926702,13.8022745380489,42.0440729483293,-0.331367781155018,11.3552583586625,8.87428571428582,8.87428571428582,8.3324012158055,7.20613981762919,7.76772036474174
2013,12,21.9550994764398,14.7414274622787,3.3015805471125,-11.1220668693011,0.000486322188449848,0.957993920972672,0.957993920972672,8.18346504559273,0.542917933130699,-6.19337386018238
2014,1,36.3264502617801,13.7194085523374,13.2840729483283,-11.8429179331307,0.447477203647417,1.96097264437692,1.96097264437692,7.51398176291794,3.08145896656535,0.523039513677814
2014,2,11.5260314136126,9.22675139503434,1.20960486322186,-11.2825531914893,0,1.20462006079029,1.20462006079029,5.14948328267478,0.0903343465045594,-5.19902735562307
2014,3,10.6167958115183,8.77029742795823,6.12139817629173,-9.57963525835886,0.0209726443768997,3.98431610942249,3.98431610942249,4.02668693009116,0.96881458966566,-2.23495440729485
2014,4,244.609256544503,24.0367984312231,429.811003039509,3.72382978723412,260.820182370822,36.0413373860179,36.0413373860179,21.0841945288755,66.6864437689968,50.9573860182373
2014,5,48.0365905759163,17.2274369377495,65.5672340425521,12.7062613981763,2.29106382978722,89.167537993922,89.167537993922,21.6110638297872,3.97775075987843,-48.951550151976
2014,6,46.2262617801047,7.82886937444211,145.211185410333,17.8169604863217,69.7602431610941,118.720303951368,98.930273556231,2.71519756838908,13.3054103343465,-28.2344680851062
2014,7,7.07050554973822,3.99217165419592,84.1356838905767,19.6037689969603,6.05519756838904,128.217933130704,70.1888753799383,0.422431610942247,0,7.48778115501515
2014,8,14.7704871204189,4.05250992875245,111.204316109424,18.3833434650458,40.0679027355626,106.152887537996,82.830151975684,0.723951367781153,0.10419452887538,-12.3924012158055
2014,9,8.50273256544503,4.7948383988018,73.4741033434629,13.7452279635255,2.94364741641336,64.7813373860187,64.7755015197573,1.46863221884499,0,4.2962917933131
2014,10,30.0507568586387,8.48941162702489,109.12170212766,9.18772036474169,29.7286930091182,35.3809726443773,35.2979331306995,5.54680851063831,1.96352583586626,37.7558662613984
2014,11,35.5024837696335,14.1538140053777,62.3386626139812,-0.280121580547107,17.276474164134,8.24589665653511,8.24589665653511,14.0234650455927,9.80516717325228,15.4525835866262
2014,12,41.6796314136126,12.7343486076884,51.8204863221898,-5.46887537993928,23.7178723404258,2.86559270516727,2.86559270516727,14.7897872340424,9.10589665653493,1.94279635258359
2015,1,15.1969005235602,9.23974348948544,0,-14.3765349544072,0,0.218723404255311,0.218723404255311,13.4094224924013,0,-13.6350759878419
2015,2,6.88327539267016,5.81785044625515,0,-17.6577507598787,0,0,0,7.28443768996966,0,-7.28443768996966
